match_id,date,giornata,team,opponent,is_home,team_score,opp_score,result,n_periods,team_fga,team_fgm,team_fta,team_oreb,team_dreb,team_tov,opp_fga,opp_fgm,opp_fta,opp_oreb,opp_dreb,opp_tov,team_pace,opp_pace,game_pace
53336,04/10/2025,1,Famila Wuber Schio,People Strategy Roseto,True,76,52,W,4,70.0,29.0,16.0,18.0,26.0,16.0,64.0,22.0,13.0,22.0,26.0,24.0,75.1,73.1,74.1
53336,04/10/2025,1,People Strategy Roseto,Famila Wuber Schio,False,52,76,L,4,64.0,22.0,13.0,22.0,26.0,24.0,70.0,29.0,16.0,18.0,26.0,16.0,73.1,75.1,74.1
53337,04/10/2025,1,Umana Reyer Venezia,O.ME.P.S. Battipaglia,True,74,50,W,4,76.0,26.0,22.0,23.0,40.0,17.0,67.0,21.0,11.0,11.0,33.0,20.0,80.7,81.2,81.0
53337,04/10/2025,1,O.ME.P.S. Battipaglia,Umana Reyer Venezia,False,50,74,L,4,67.0,21.0,11.0,11.0,33.0,20.0,76.0,26.0,22.0,23.0,40.0,17.0,81.2,80.7,81.0
53338,05/10/2025,1,Geas Sesto San Giovanni,Autosped G Castelnuovo Scrivia,True,65,56,W,4,60.0,25.0,14.0,11.0,29.0,17.0,62.0,21.0,12.0,12.0,21.0,14.0,70.3,68.4,69.3
53338,05/10/2025,1,Autosped G Castelnuovo Scrivia,Geas Sesto San Giovanni,False,56,65,L,4,62.0,21.0,12.0,12.0,21.0,14.0,60.0,25.0,14.0,11.0,29.0,17.0,68.4,70.3,69.3
53339,04/10/2025,1,Dinamo Banco di Sardegna Sassari,Alama San Martino di Lupari,True,76,64,W,4,70.0,25.0,17.0,16.0,26.0,15.0,62.0,25.0,14.0,15.0,32.0,24.0,76.4,77.7,77.1
53339,04/10/2025,1,Alama San Martino di Lupari,Dinamo Banco di Sardegna Sassari,False,64,76,L,4,62.0,25.0,14.0,15.0,32.0,24.0,70.0,25.0,17.0,16.0,26.0,15.0,77.7,76.4,77.1
53340,05/10/2025,1,RMB Brixia Basket San Paolo,La Molisana Magnolia Campobasso,True,37,87,L,4,59.0,14.0,8.0,11.0,16.0,26.0,64.0,32.0,21.0,18.0,36.0,22.0,77.3,77.1,77.2
53340,05/10/2025,1,La Molisana Magnolia Campobasso,RMB Brixia Basket San Paolo,False,87,37,W,4,64.0,32.0,21.0,18.0,36.0,22.0,59.0,14.0,8.0,11.0,16.0,26.0,77.1,77.3,77.2
